date,url,title,abstract,filetype,site,terms
"",http://www.earthworksaction.org/files/publications/DrinkingWaterAtRisk.pdf?pubs/DrinkingWaterAtRisk.pdf,OUR DRINKING WATER AT RISK - EARTHWORKS,5.3.6 There is no regulatory requirement for companies to test for <b>hydraulic fracturing</b> chemicals in groundwater.....48,nonhtml,earthworksaction.org,hydraulic+fracturing
"",http://www.earthworksaction.org/files/publications/FS_hydraulic-fracturing_myths-factsFINAL.pdf?pubs/FS_hydraulic-fracturing_myths-factsFINAL.pdf,hydraul <b>fracturing</b> - myths-facts 4-09 #2 - EARTHWORKS,Myths and Facts Myth: <b>Hydraulic fracturing</b> fluids and products pose no real risk to our water supplies or public health. FACT: <b>Hydraulic fracturing</b> fluids contain ...,nonhtml,earthworksaction.org,hydraulic+fracturing
"",http://www.earthworksaction.org/files/publications/JointFS_HalliburtonLoophole.pdf?pubs/JointFS_HalliburtonLoophole.pdf,Con gress Should Close the Halliburton Loophole - EARTHWORKS,"<b>hydraulic fracturing</b> of a well less than 800 feet from their home. Their drinking water turned gray, bubbled, contained black oily globs, and had strong odors.",nonhtml,earthworksaction.org,hydraulic+fracturing
"",http://www.earthworksaction.org/files/publications/PetroleumExemptions1c.pdf?pubs/PetroleumExemptions1c.pdf,The Oil and Gas Industry’s Exclusions and Exemptions to ...,Landowner’s Guide to Oil and Gas Development and Our Drinking Water At Risk: What EPA and the Oil And Gas Industry Don’t Want Us to Know About <b>Hydraulic Fracturing</b> ...,nonhtml,earthworksaction.org,hydraulic+fracturing
"",http://www.earthworksaction.org/files/publications/REPORT-NewYork-Enforcement.pdf,NEW YORK STATE DEPARTMENT OF ENVIRONMENTAL CONSERVATION,Impact Statement (SGEIS) for “Well permit issuance for horizontal drilling and high-volume <b>hydraulic fracturing</b> to develop the Marcellus Shale and other low ...,nonhtml,earthworksaction.org,hydraulic+fracturing
"",http://www.earthworksaction.org/files/publications/Heneghan.pdf?pubs/Heneghan.pdf,Oil &amp; Gas Well Drilling - EARTHWORKS,Potential Contamination  Completion/Treatment  <b>Hydraulic fracturing</b> (fracing)  Introduces physical stresses  May use synthesized chemicals,nonhtml,earthworksaction.org,hydraulic+fracturing
"",http://www.earthworksaction.org/files/pubs-others/TXRRC-Rule37-op-amend-3-79-and-3-86-NPZs-as-approved-Dec14-2010.pdf?pubs-others/TXRRC-Rule37-op-amend-3-79-and-3-86-NPZs-as-approved-Dec14-2010.pdf,Railroad Commission of Texas Page 1 of 36 - EARTHWORKS,the hydrocarbon can flow into the wellbore. <b>Hydraulic fracturing</b> plays a key role in the development of virtually all unconventional gas resources in Texas.,nonhtml,earthworksaction.org,hydraulic+fracturing
"",http://www.earthworksaction.org/files/publications/LOguide2005book.pdf?pubs/LOguide2005book.pdf,Oil and Gas at Your Door? - EARTHWORKS,how <b>hydraulic fracturing</b> of coalbeds and other geological formations has affected drinking water.) Not only does the injection of these chemicals pose a short-term threat ...,nonhtml,earthworksaction.org,hydraulic+fracturing
"",http://www.earthworksaction.org/files/publications/OGAPMarcellusShaleReport-6-12-08.pdf?pubs/OGAPMarcellusShaleReport-6-12-08.pdf,Shale Gas - EARTHWORKS,"Shale Gas: Focu s o n the Mar ce llus Shale By Lisa Sumi FOR THE O IL &amp; G A S ACCOUNT A B ILITY PR OJECT/ EAR TH W OR KS, MA Y 2008 OGAP",nonhtml,earthworksaction.org,fracking
"",http://www.earthworksaction.org/files/publications/OGAPMarcellusShaleReport-6-12-08.pdf?pubs/OGAPMarcellusShaleReport-6-12-08.pdf,<b>Shale Gas</b> - EARTHWORKS,"<b>Shale Gas</b>: Focu s o n the Mar ce llus <b>Shale</b> By Lisa Sumi FOR THE O IL &amp; <b>G A S</b> ACCOUNT A B ILITY PR OJECT/ EAR TH W OR KS, MA Y 2008 OGAP",nonhtml,earthworksaction.org,shale+gas
"",http://www.earthworksaction.org/files/publications/REPORT-NewYork-Enforcement.pdf,NEW YORK STATE DEPARTMENT OF ENVIRONMENTAL CONSERVATION,"TO JUMP INTO THE <b>SHALE GAS</b> RUSH—BUT ISN’T READY TO OVERSEE IT. New York failed to inspect three out of every four active wells in 2010. 7,500",nonhtml,earthworksaction.org,shale+gas
"",http://www.earthworksaction.org/files/pubs-others/TXRRC-Rule37-op-amend-3-79-and-3-86-NPZs-as-approved-Dec14-2010.pdf?pubs-others/TXRRC-Rule37-op-amend-3-79-and-3-86-NPZs-as-approved-Dec14-2010.pdf,Railroad Commission of Texas Page 1 of 36 - EARTHWORKS,"Docket No. 06-0262000) and the Hawkville (Eagleford <b>Shale</b>) Field in La Salle County (November 24, 2009, Railroad Commission Oil &amp; <b>Gas</b> Docket No. 01-0263175).",nonhtml,earthworksaction.org,shale+gas
"",http://www.earthworksaction.org/files/publications/FS_hydraulic-fracturing_myths-factsFINAL.pdf?pubs/FS_hydraulic-fracturing_myths-factsFINAL.pdf,hydraul fracturing - myths-facts 4-09 #2 - EARTHWORKS,"resources, such as <b>shale gas</b> resources, there are a number of issues and concerns. Hydraulic fracturing can leave fluids stranded at these depths, and, through the high ...",nonhtml,earthworksaction.org,shale+gas
"",http://www.earthworksaction.org/files/publications/NM-OCD-Enforcement-Report.pdf,NM OCD - EARTHWORKS,"<b>shale</b> oil and <b>shale gas</b> development in New Mexico is on the horizon.4 Unfortunately, by any reasonable measure, the OCD fails to fulfill its duty to the law, and to the ...",nonhtml,earthworksaction.org,shale+gas
"",http://www.earthworksaction.org/files/publications/JointFS_HalliburtonLoophole.pdf?pubs/JointFS_HalliburtonLoophole.pdf,Con gress Should Close the Halliburton Loophole - EARTHWORKS,"2 Section M, Pennsylvania “Application Addendum and Instructions for Marcellus <b>Shale Gas</b> Well Development.” 3 “Selected Topics in State and Local Regulation of Oil ...",nonhtml,earthworksaction.org,shale+gas
"",http://www.earthworksaction.org/files/publications/Drill_Right_Texas_FINAL.pdf?pubs/Drill_Right_Texas_FINAL.pdf,Drill Right Final brand - EARTHWORKS,"In 2008, the Barnett <b>Shale</b> produced more than 12 billion dollars worth of oil and <b>gas</b>. We can afford to develop the resource and protect our landowners, communities and ...",nonhtml,earthworksaction.org,shale+gas
"",http://www.earthworksaction.org/files/publications/EWfs_HR2262royalty.pdf,A NET SMELTER ROYALTY - EARTHWORKS,"... income from the property' means, in the case of a property other than an oil or <b>gas</b> ... (H) in the case of oil <b>shale</b> - extraction from the ground, crushing, loading into the ...",nonhtml,earthworksaction.org,shale+gas
"",http://www.earthworksaction.org/files/publications/Heneghan.pdf?pubs/Heneghan.pdf,Oil &amp; Gas Well Drilling - EARTHWORKS,Potential Contamination  Completion/Treatment  Hydraulic fracturing (<b>fracing</b>)  Introduces physical stresses  May use synthesized chemicals,nonhtml,earthworksaction.org,fracing
"",http://cogcc.state.co.us/General/HydraulicFracturingInfoSheet.pdf,Information on <b>Hydraulic Fracturing</b> - Colorado Oil and Gas ...,Colorado Department of Natural Resources Information on <b>Hydraulic Fracturing</b> What is <b>hydraulic fracturing</b>? <b>Hydraulic fracturing</b> is the process of creating,nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/Hot_Topics/Hydraulic_Fracturing/Frequent_Questions_about_Hydraulic%20Fracturing.pdf,Frequently Asked Questions About <b>Hydraulic Fracturing</b>,"Frequently Asked Questions About <b>Hydraulic Fracturing</b>: What is <b>hydraulic fracturing</b>? <b>Hydraulic fracturing</b>, commonly referred to as fracing, is the process of creating ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/RuleMaking/WorkGroups/StudiesGroup/FracPrimerCOGCC.pdf,<b>Hydraulic Fracturing</b> PrimerHydraulic <b>Fracturing</b> Primer,"<b>Hydraulic Fracturing</b> PrimerHydraulic <b>Fracturing</b> Primer Colorado Oil and Gas Conservation Commission Mike Eberhard P EMike Eberhard, P.E. Technical Manager – Rockies NWA",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Library/Oil_and_Gas_Water_Sources_Fact_Sheet.pdf,Water Sources and Demand for the <b>Hydraulic Fracturing</b> of Oil ...,"Water Sources and Demand for the <b>Hydraulic Fracturing</b> of Oil and Gas Wells in Colorado from 2010 through 20151 Recently, questions have been raised about the quantity ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/Hot_Topics/Hydraulic_Fracturing/COGCC_FRACING_briefing_052011.pdf,Schedule for Rulemaking Deliberations - Colorado Oil and Gas ...,Purpose of <b>Hydraulic Fracturing</b>  To improve the productivity and ultimate recovery of the well.  Effectively connects the well to the productive,nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/Hot_Topics/Hydraulic_Fracturing/Director_Neslin_Senate_Testimony_041211.pdf,April 12 2011 Written Senate Testimony - Colorado Oil and Gas ...,"I want to focus most of my comments today on <b>hydraulic fracturing</b>, as it remains at the center of discussion on oil and gas drilling both in Colorado and nationally.",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/Hot_Topics/Hydraulic_Fracturing/EnviroPublicWorksQA.pdf,"DEPARTMENT OF NATURAL RESOURCES John W. Hickenlooper, Governor","wells drilled in Colorado involve horizontal drilling and <b>hydraulic fracturing</b>. In your written testimony, you state the COGCC has investigated hundreds of allegations of",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Library/HydroFracStronger/COGCC_Response_To_STRONGER_06132011.pdf,Response of the Colorado Oil &amp; Gas Conservation Commission to ...,"1 Response of the Colorado Oil &amp; Gas Conservation Commission to the STRONGER <b>Hydraulic Fracturing</b> Questionnaire June 13, 2011 General [9.2] 1.",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/Fracking_disclosure_doc.pdf,New website to provide data on <b>hydraulic fracturing</b> chemicals ...,"DEPARTMENT OF NATURAL RESOURCES . John W. Hickenlooper, Governor . 1120 Lincoln St. Suite 801 . Denver, CO 80203 . Phone: (303) 894-2100 . FAX: (303) 894-2109",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/Hot_Topics/Hydraulic_Fracturing/GASLAND%20DOC.pdf,The documentary - Colorado Oil and Gas Conservation ...,"deteriorated after drilling and <b>hydraulic fracturing</b> occurred nearby. However, COGCC records indicate little or no temporal relationship between the Markham and McClure ...",nonhtml,cogcc.state.co.us,hydraulic+fracturing
"",http://cogcc.state.co.us/Announcements/Hot_Topics/Hydraulic_Fracturing/Additional_COGCC_Information_Final_092911.pdf,To: STRONGER Colorado <b>Hydraulic Fracturing</b> State Review Team,"To: STRONGER Colorado <b>Hydraulic Fracturing</b> State Review Team From: Colorado Oil and Gas Conservation Commission Staff Date: September 28, 2011",nonhtml,cogcc.state.co.us,hydraulic+fracturing
